epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,2018,0.65652,0.43656,1.02893,0.88364,0.77287,0.82821,0.67259,1.02273,0.80461,1.35745,0.000505,0.000505,0.000505
102,2038.94,0.67263,0.42885,1.03527,0.87232,0.8008,0.85465,0.67219,0.95552,0.81571,1.26887,0.00050005,0.00050005,0.00050005
103,2061.2,0.67645,0.43657,1.03733,0.90913,0.79509,0.84057,0.66088,1.02497,0.892,1.29357,0.0004951,0.0004951,0.0004951
104,2082.7,0.67197,0.44061,1.03338,0.90911,0.76014,0.83002,0.65096,1.01,0.86346,1.35592,0.00049015,0.00049015,0.00049015
105,2111.69,0.66619,0.43357,1.0321,0.92579,0.8139,0.86462,0.6829,0.91728,0.64189,1.25137,0.0004852,0.0004852,0.0004852
106,2130.7,0.64539,0.42418,1.01949,0.94294,0.84939,0.88608,0.67304,0.95003,0.639,1.26995,0.00048025,0.00048025,0.00048025
107,2147.82,0.69775,0.43097,1.04419,0.95997,0.77225,0.86813,0.67457,0.97814,0.64868,1.3553,0.0004753,0.0004753,0.0004753
108,2165.2,0.66994,0.44693,1.04501,0.92165,0.78702,0.87607,0.68488,0.95615,0.61455,1.32046,0.00047035,0.00047035,0.00047035
109,2183.13,0.65177,0.42988,1.02691,0.93276,0.7824,0.88601,0.68298,0.97632,0.70412,1.30531,0.0004654,0.0004654,0.0004654
110,2201.26,0.64462,0.42524,1.0185,0.89323,0.79539,0.86309,0.68584,0.96725,0.72402,1.30553,0.00046045,0.00046045,0.00046045
111,2219.6,0.6479,0.41736,1.01974,0.92274,0.79926,0.86385,0.69221,0.9199,0.65731,1.28521,0.0004555,0.0004555,0.0004555
112,2238.42,0.63247,0.42472,1.01276,0.87362,0.78536,0.86547,0.69919,0.93783,0.73659,1.29294,0.00045055,0.00045055,0.00045055
113,2257.79,0.65851,0.41759,1.02353,0.90745,0.78878,0.85141,0.66594,0.978,0.74903,1.32282,0.0004456,0.0004456,0.0004456
114,2275.88,0.6425,0.40798,1.01688,0.93219,0.82715,0.85883,0.66994,0.9845,0.6955,1.30984,0.00044065,0.00044065,0.00044065
115,2293.21,0.64313,0.42136,1.01315,0.95253,0.76311,0.84303,0.66685,0.98759,0.81283,1.33941,0.0004357,0.0004357,0.0004357
116,2310.86,0.61553,0.40891,1.00994,0.92893,0.7501,0.84178,0.67102,0.9714,0.8405,1.31968,0.00043075,0.00043075,0.00043075
117,2328.67,0.64687,0.41057,1.02354,0.8446,0.76291,0.84701,0.64864,0.99663,0.90491,1.34855,0.0004258,0.0004258,0.0004258
118,2345.8,0.61719,0.39626,1.0059,0.91191,0.79228,0.86181,0.67057,1.00712,0.79268,1.35544,0.00042085,0.00042085,0.00042085
119,2363.36,0.6546,0.4051,1.02248,0.89544,0.79902,0.86366,0.6753,1.00089,0.73256,1.33765,0.0004159,0.0004159,0.0004159
120,2381.14,0.62958,0.3935,1.01481,0.81916,0.77771,0.8375,0.66499,0.94696,0.87782,1.29866,0.00041095,0.00041095,0.00041095
121,2399.83,0.6443,0.4369,1.02127,0.86422,0.74159,0.81218,0.64804,0.96642,0.93282,1.30964,0.000406,0.000406,0.000406
122,2417.81,0.61655,0.40192,1.01419,0.91166,0.75785,0.83407,0.64554,0.98658,0.74582,1.32097,0.00040105,0.00040105,0.00040105
123,2432.9,0.63011,0.41719,1.0194,0.87168,0.82536,0.88307,0.69375,0.99805,0.73892,1.30201,0.0003961,0.0003961,0.0003961
124,2444.59,0.6058,0.38369,1.00396,0.9287,0.7504,0.86579,0.67385,0.97228,0.74576,1.31562,0.00039115,0.00039115,0.00039115
125,2456.05,0.611,0.38592,1.00568,0.91965,0.79516,0.89377,0.69783,0.93412,0.63882,1.253,0.0003862,0.0003862,0.0003862
126,2467.73,0.60016,0.38241,0.99153,0.92571,0.80532,0.88461,0.70687,0.9194,0.67303,1.26103,0.00038125,0.00038125,0.00038125
127,2479.39,0.61641,0.39666,1.00079,0.93166,0.80281,0.87818,0.67822,0.95854,0.69893,1.29068,0.0003763,0.0003763,0.0003763
128,2491.1,0.60388,0.37322,1.00956,0.9115,0.78029,0.84986,0.65897,0.9958,0.7818,1.33829,0.00037135,0.00037135,0.00037135
129,2502.54,0.59148,0.38132,0.99182,0.86329,0.8049,0.84398,0.63578,1.02978,0.8124,1.3797,0.0003664,0.0003664,0.0003664
130,2514.03,0.6014,0.37339,1.00549,0.85725,0.77082,0.82995,0.64424,0.99248,0.98595,1.32114,0.00036145,0.00036145,0.00036145
